epoch,train_loss,val_auc_pr,val_auc_roc,val_csi,val_f1,epoch_sec
1,0.01034859509075968,0.10454484674708428,0.7768546271877499,0.1419308798042614,0.2485805092311538,3322.265392780304
2,0.00952827609039676,0.10389146726215412,0.7733237387048979,0.1432359913512387,0.2505799195176528,3334.947386264801
3,0.008876445645498287,0.10774937341401697,0.7861361745082621,0.14078691079080638,0.2468242043436689,3346.043783187866
4,0.008088289625479035,0.1070169584534878,0.7841670508037873,0.14127377037932326,0.24757209715311052,3473.150168657303
5,0.007762325107235398,0.1076168525329606,0.7841358647587179,0.1415120784070318,0.24793794316133813,3339.5162811279297
